###FILE ALREADY PARSED###
BPM 123.474 178.7
BPM 286.474 163.28
123 0 1
207 0 1
286-1021 0 1
1389-1481 0 1
1573-2675 0 1
3042 0 1
3134 0 1
3226-3961 0 1
4329-4420 0 1
4512-5431 0 1
5431 0 1
5523 0 2
5615 0 3
5707 0 5
5798 0 3
5890 0 5
5982 0 7
6074 0 9
6166-7085 0 8
7085 0 9
7452 0 8
7636-8738 0 7
8738 0 4
8922 0 5
9106-9841 0 6
10024 0 4
10392 0 2
10576 0 3
10759 0 1
11127-11678 0 6
11678 0 6
11770 0 7
11862 0 8
11954 0 9
12045 0 8
12964 0 9
13332 0 8
13515 0 7
14618 0 4
14801 0 5
14985 0 6
15904 0 4
16271 0 2
16455 0 3
16639 0 1
17006 0 9
17741 0 3
17833 0 4
17925 0 5
18476 0 3
18568 0 4
18660 0 5
18844 0 3
18935 0 4
19027 0 5
19211 0 3
19303 0 4
19395 0 5
19762 0 6
20130 0 7
20497 0 8
20865 0 9
21416 0 7
22334 0 1
22426 0 2
22518 0 4
22610 0 6
22702 0 2
22794 0 3
22886 0 5
22978 0 7
23069 0 9
23161 0 7
23253 0 5
23345 0 3
23437 0 5
23529 0 3
23621 0 2
23712 0 3
23804 0 4
24356 0 2
24447 0 3
24539 0 4
24723 0 2
24815 0 3
24907 0 4
25090 0 2
25182 0 3
25274 0 4
25642-26009 0 4
26009-26377 0 5
26377-26744 0 6
26744-27663 0 7
26928 0 3
27020 0 4
27112 0 5
27295 0 4
27387 0 3
27479 0 2
27571 0 1
27663 0 2
27663 0 9
27755 0 3
27846 0 4
27846 0 8
27938 0 5
28030 0 7
28122 0 9
28214 0 5
28214 0 8
28765 0 7
28765-29316 0 4
28949 0 5
29133 0 6
29224 0 7
29316 0 8
29408 0 9
29500 0 1
29500 0 8
29592 0 2
29592 0 7
29684 0 3
29684-30419 0 8
30235 0 1
30327 0 2
30419 0 3
30419-31154 0 7
30602 0 1
30694 0 2
30786 0 3
30970 0 1
31062 0 2
31154 0 3
31154-31889 0 6
31521 0 4
31889-32624 0 5
32256 0 6
32624 0 7
32624-33358 0 4
33175 0 5
33358 0 1
33726 0 2
33910 0 3
34093 0 9
34461 0 8
34828 0 7
35196 0 6
35380 0 1
35471 0 2
35563 0 3
36114 0 1
36206 0 2
36298 0 3
36482 0 1
36574 0 2
36666 0 3
36849 0 1
36941 0 2
37033 0 3
37401 0 3
37768 0 4
38136 0 5
38503 0 9
39422 0 8
39605 0 7
39789 0 4
39973 0 6
40524 0 5
41259 0 9
41351 0 8
41443 0 9
42361 0 7
42545 0 9
42729 0 7
42913 0 8
43464 0 7
43556 0 6
43648 0 7
44566 0 4
44750 0 4
44934 0 5
45117 0 6
45301 0 4
45485 0 5
45669 0 6
45852 0 7
46587 0 8
47139 0 9
47230 0 8
47322 0 9
48241 0 7
48425 0 9
48608 0 7
48792 0 8
49343 0 9
49527 0 8
50446 0 8
50629 0 9
50813 0 8
50951 0 6
50997 0 7
